file	symbol	demangled	in_original	new_size_hex	orig_size_hex	new_insn_count	orig_insn_count	mnemonic_exact	mnemonic_overlap
Community/src/BuddyManager.cpp.o	_ZN13CBuddyManagerC1ERKS_	CBuddyManager::CBuddyManager(CBuddyManager const&)	1	0000001a	0000001a	10	10	yes	1.0000
Community/src/BuddyManager.cpp.o	_ZN13CBuddyManagerC1Ev	CBuddyManager::CBuddyManager()	1	00000013	00000013	8	8	yes	1.0000
Community/src/BuddyManager.cpp.o	_ZN13CBuddyManagerC2ERKS_	CBuddyManager::CBuddyManager(CBuddyManager const&)	1	0000001a	0000001a	0	0	no	0.0000
Community/src/BuddyManager.cpp.o	_ZN13CBuddyManagerC2Ev	CBuddyManager::CBuddyManager()	1	00000013	00000013	0	0	no	0.0000
Community/src/BuddyManager.cpp.o	_ZN9__gnu_cxx17__normal_iteratorIP16STPvPBuddyDBInfoSt6vectorIS1_SaIS1_EEEC1ERKS2_	__gnu_cxx::__normal_iterator<STPvPBuddyDBInfo*, std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> > >::__normal_iterator(STPvPBuddyDBInfo* const&)	1	0000000f	0000000f	8	8	yes	1.0000
Community/src/BuddyManager.cpp.o	_ZN9__gnu_cxx17__normal_iteratorIP16STPvPBuddyDBInfoSt6vectorIS1_SaIS1_EEEC2ERKS2_	__gnu_cxx::__normal_iterator<STPvPBuddyDBInfo*, std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> > >::__normal_iterator(STPvPBuddyDBInfo* const&)	1	0000000f	0000000f	0	0	no	0.0000
Community/src/BuddyManager.cpp.o	_ZN9__gnu_cxx17__normal_iteratorIP16STPvPBuddyDBInfoSt6vectorIS1_SaIS1_EEEppEv	__gnu_cxx::__normal_iterator<STPvPBuddyDBInfo*, std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> > >::operator++()	1	00000015	00000015	10	10	yes	1.0000
Community/src/BuddyManager.cpp.o	_ZN9__gnu_cxx17__normal_iteratorIPK16STPvPBuddyDBInfoSt6vectorIS1_SaIS1_EEEC1ERKS3_	__gnu_cxx::__normal_iterator<STPvPBuddyDBInfo const*, std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> > >::__normal_iterator(STPvPBuddyDBInfo const* const&)	1	0000000f	0000000f	8	8	yes	1.0000
Community/src/BuddyManager.cpp.o	_ZN9__gnu_cxx17__normal_iteratorIPK16STPvPBuddyDBInfoSt6vectorIS1_SaIS1_EEEC2ERKS3_	__gnu_cxx::__normal_iterator<STPvPBuddyDBInfo const*, std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> > >::__normal_iterator(STPvPBuddyDBInfo const* const&)	1	0000000f	0000000f	0	0	no	0.0000
Community/src/BuddyManager.cpp.o	_ZN9__gnu_cxx17__normal_iteratorIPK16STPvPBuddyDBInfoSt6vectorIS1_SaIS1_EEEppEv	__gnu_cxx::__normal_iterator<STPvPBuddyDBInfo const*, std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> > >::operator++()	1	00000015	00000015	10	10	yes	1.0000
Community/src/BuddyManager.cpp.o	_ZN9__gnu_cxxmiIP16STPvPBuddyDBInfoSt6vectorIS1_SaIS1_EEEENS_17__normal_iteratorIT_T0_E15difference_typeERKS9_SC_	__gnu_cxx::__normal_iterator<STPvPBuddyDBInfo*, std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> > >::difference_type __gnu_cxx::operator-<STPvPBuddyDBInfo*, std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> > >(__gnu_cxx::__normal_iterator<STPvPBuddyDBInfo*, std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> > > const&, __gnu_cxx::__normal_iterator<STPvPBuddyDBInfo*, std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> > > const&)	1	00000035	00000035	21	21	yes	1.0000
Community/src/BuddyManager.cpp.o	_ZN9__gnu_cxxneIP16STPvPBuddyDBInfoSt6vectorIS1_SaIS1_EEEEbRKNS_17__normal_iteratorIT_T0_EESB_	bool __gnu_cxx::operator!=<STPvPBuddyDBInfo*, std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> > >(__gnu_cxx::__normal_iterator<STPvPBuddyDBInfo*, std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> > > const&, __gnu_cxx::__normal_iterator<STPvPBuddyDBInfo*, std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> > > const&)	1	0000002c	0000002c	18	18	yes	1.0000
Community/src/BuddyManager.cpp.o	_ZN9__gnu_cxxneIPK16STPvPBuddyDBInfoSt6vectorIS1_SaIS1_EEEEbRKNS_17__normal_iteratorIT_T0_EESC_	bool __gnu_cxx::operator!=<STPvPBuddyDBInfo const*, std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> > >(__gnu_cxx::__normal_iterator<STPvPBuddyDBInfo const*, std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> > > const&, __gnu_cxx::__normal_iterator<STPvPBuddyDBInfo const*, std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> > > const&)	1	0000002c	0000002c	18	18	yes	1.0000
Community/src/BuddyManager.cpp.o	_ZNK9__gnu_cxx17__normal_iteratorIP16STPvPBuddyDBInfoSt6vectorIS1_SaIS1_EEE4baseEv	__gnu_cxx::__normal_iterator<STPvPBuddyDBInfo*, std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> > >::base() const	1	00000008	00000008	5	5	yes	1.0000
Community/src/BuddyManager.cpp.o	_ZNK9__gnu_cxx17__normal_iteratorIP16STPvPBuddyDBInfoSt6vectorIS1_SaIS1_EEEdeEv	__gnu_cxx::__normal_iterator<STPvPBuddyDBInfo*, std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> > >::operator*() const	1	0000000a	0000000a	6	6	yes	1.0000
Community/src/BuddyManager.cpp.o	_ZNK9__gnu_cxx17__normal_iteratorIPK16STPvPBuddyDBInfoSt6vectorIS1_SaIS1_EEE4baseEv	__gnu_cxx::__normal_iterator<STPvPBuddyDBInfo const*, std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> > >::base() const	1	00000008	00000008	5	5	yes	1.0000
Community/src/BuddyManager.cpp.o	_ZNK9__gnu_cxx17__normal_iteratorIPK16STPvPBuddyDBInfoSt6vectorIS1_SaIS1_EEEdeEv	__gnu_cxx::__normal_iterator<STPvPBuddyDBInfo const*, std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> > >::operator*() const	1	0000000a	0000000a	6	6	yes	1.0000
Community/src/BuddyManager.cpp.o	_ZNKSt12_Vector_baseI16STPvPBuddyDBInfoSaIS0_EE19_M_get_Tp_allocatorEv	std::_Vector_base<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> >::_M_get_Tp_allocator() const	1	00000008	00000008	5	5	yes	1.0000
Community/src/BuddyManager.cpp.o	_ZNKSt6vectorI16STPvPBuddyDBInfoSaIS0_EE12_M_check_lenEjPKc	std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> >::_M_check_len(unsigned int, char const*) const	1	000000a5	000000a5	56	56	yes	1.0000
Community/src/BuddyManager.cpp.o	_ZNKSt6vectorI16STPvPBuddyDBInfoSaIS0_EE3endEv	std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> >::end() const	1	0000002c	0000002c	17	17	yes	1.0000
Community/src/BuddyManager.cpp.o	_ZNKSt6vectorI16STPvPBuddyDBInfoSaIS0_EE4sizeEv	std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> >::size() const	1	0000001e	0000001e	13	13	yes	1.0000
Community/src/BuddyManager.cpp.o	_ZNKSt6vectorI16STPvPBuddyDBInfoSaIS0_EE5beginEv	std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> >::begin() const	1	0000002b	0000002b	17	17	yes	1.0000
Community/src/BuddyManager.cpp.o	_ZNKSt6vectorI16STPvPBuddyDBInfoSaIS0_EE8max_sizeEv	std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> >::max_size() const	1	0000001b	0000001b	10	10	yes	1.0000
Community/src/BuddyManager.cpp.o	_ZNSt12_Vector_baseI16STPvPBuddyDBInfoSaIS0_EE11_M_allocateEj	std::_Vector_base<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> >::_M_allocate(unsigned int)	1	0000002f	0000002f	15	15	yes	1.0000
Community/src/BuddyManager.cpp.o	_ZNSt12_Vector_baseI16STPvPBuddyDBInfoSaIS0_EE12_Vector_implC1ERKS1_	std::_Vector_base<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> >::_Vector_impl::_Vector_impl(std::allocator<STPvPBuddyDBInfo> const&)	1	00000037	00000037	16	16	yes	1.0000
Community/src/BuddyManager.cpp.o	_ZNSt12_Vector_baseI16STPvPBuddyDBInfoSaIS0_EE12_Vector_implC1Ev	std::_Vector_base<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> >::_Vector_impl::_Vector_impl()	1	00000030	00000030	14	14	yes	1.0000
Community/src/BuddyManager.cpp.o	_ZNSt12_Vector_baseI16STPvPBuddyDBInfoSaIS0_EE12_Vector_implC2ERKS1_	std::_Vector_base<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> >::_Vector_impl::_Vector_impl(std::allocator<STPvPBuddyDBInfo> const&)	1	00000037	00000037	0	0	no	0.0000
Community/src/BuddyManager.cpp.o	_ZNSt12_Vector_baseI16STPvPBuddyDBInfoSaIS0_EE12_Vector_implC2Ev	std::_Vector_base<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> >::_Vector_impl::_Vector_impl()	1	00000030	00000030	0	0	no	0.0000
Community/src/BuddyManager.cpp.o	_ZNSt12_Vector_baseI16STPvPBuddyDBInfoSaIS0_EE12_Vector_implD1Ev	std::_Vector_base<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> >::_Vector_impl::~_Vector_impl()	1	00000013	00000013	8	8	yes	1.0000
Community/src/BuddyManager.cpp.o	_ZNSt12_Vector_baseI16STPvPBuddyDBInfoSaIS0_EE12_Vector_implD2Ev	std::_Vector_base<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> >::_Vector_impl::~_Vector_impl()	1	00000013	00000013	0	0	no	0.0000
Community/src/BuddyManager.cpp.o	_ZNSt12_Vector_baseI16STPvPBuddyDBInfoSaIS0_EE13_M_deallocateEPS0_j	std::_Vector_base<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> >::_M_deallocate(STPvPBuddyDBInfo*, unsigned int)	1	00000027	00000027	14	14	yes	1.0000
Community/src/BuddyManager.cpp.o	_ZNSt12_Vector_baseI16STPvPBuddyDBInfoSaIS0_EE19_M_get_Tp_allocatorEv	std::_Vector_base<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> >::_M_get_Tp_allocator()	1	00000008	00000008	5	5	yes	1.0000
Community/src/BuddyManager.cpp.o	_ZNSt12_Vector_baseI16STPvPBuddyDBInfoSaIS0_EEC1EjRKS1_	std::_Vector_base<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> >::_Vector_base(unsigned int, std::allocator<STPvPBuddyDBInfo> const&)	1	00000071	00000071	42	42	yes	1.0000
Community/src/BuddyManager.cpp.o	_ZNSt12_Vector_baseI16STPvPBuddyDBInfoSaIS0_EEC1Ev	std::_Vector_base<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> >::_Vector_base()	1	00000013	00000013	8	8	yes	1.0000
Community/src/BuddyManager.cpp.o	_ZNSt12_Vector_baseI16STPvPBuddyDBInfoSaIS0_EEC2EjRKS1_	std::_Vector_base<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> >::_Vector_base(unsigned int, std::allocator<STPvPBuddyDBInfo> const&)	1	00000071	00000071	0	0	no	0.0000
Community/src/BuddyManager.cpp.o	_ZNSt12_Vector_baseI16STPvPBuddyDBInfoSaIS0_EEC2Ev	std::_Vector_base<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> >::_Vector_base()	1	00000013	00000013	0	0	no	0.0000
Community/src/BuddyManager.cpp.o	_ZNSt12_Vector_baseI16STPvPBuddyDBInfoSaIS0_EED1Ev	std::_Vector_base<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> >::~_Vector_base()	1	0000006a	0000006a	40	40	yes	1.0000
Community/src/BuddyManager.cpp.o	_ZNSt12_Vector_baseI16STPvPBuddyDBInfoSaIS0_EED2Ev	std::_Vector_base<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> >::~_Vector_base()	1	0000006a	0000006a	0	0	no	0.0000
Community/src/BuddyManager.cpp.o	_ZNSt6vectorI16STPvPBuddyDBInfoSaIS0_EE3endEv	std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> >::end()	1	00000026	00000026	15	15	yes	1.0000
Community/src/BuddyManager.cpp.o	_ZNSt6vectorI16STPvPBuddyDBInfoSaIS0_EE5beginEv	std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> >::begin()	1	00000023	00000023	14	14	yes	1.0000
Community/src/BuddyManager.cpp.o	_ZNSt6vectorI16STPvPBuddyDBInfoSaIS0_EE5eraseEN9__gnu_cxx17__normal_iteratorIPS0_S2_EE	std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> >::erase(__gnu_cxx::__normal_iterator<STPvPBuddyDBInfo*, std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> > >)	1	000000e5	000000e5	69	69	yes	1.0000
Community/src/BuddyManager.cpp.o	_ZNSt6vectorI16STPvPBuddyDBInfoSaIS0_EE9push_backERKS0_	std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> >::push_back(STPvPBuddyDBInfo const&)	1	00000073	00000073	38	38	yes	1.0000
Community/src/BuddyManager.cpp.o	_ZNSt6vectorI16STPvPBuddyDBInfoSaIS0_EEC1ERKS2_	std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> >::vector(std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> > const&)	1	000000b4	000000b4	59	59	yes	1.0000
Community/src/BuddyManager.cpp.o	_ZNSt6vectorI16STPvPBuddyDBInfoSaIS0_EEC1Ev	std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> >::vector()	1	00000013	00000013	8	8	yes	1.0000
Community/src/BuddyManager.cpp.o	_ZNSt6vectorI16STPvPBuddyDBInfoSaIS0_EEC2ERKS2_	std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> >::vector(std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> > const&)	1	000000b4	000000b4	0	0	no	0.0000
Community/src/BuddyManager.cpp.o	_ZNSt6vectorI16STPvPBuddyDBInfoSaIS0_EEC2Ev	std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> >::vector()	1	00000013	00000013	0	0	no	0.0000
Community/src/BuddyManager.cpp.o	_ZSt18uninitialized_copyIN9__gnu_cxx17__normal_iteratorIPK16STPvPBuddyDBInfoSt6vectorIS2_SaIS2_EEEEPS2_ET0_T_SB_SA_	STPvPBuddyDBInfo* std::uninitialized_copy<__gnu_cxx::__normal_iterator<STPvPBuddyDBInfo const*, std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> > >, STPvPBuddyDBInfo*>(__gnu_cxx::__normal_iterator<STPvPBuddyDBInfo const*, std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> > >, __gnu_cxx::__normal_iterator<STPvPBuddyDBInfo const*, std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> > >, STPvPBuddyDBInfo*)	1	00000021	00000021	12	12	yes	1.0000
Community/src/BuddyManager.cpp.o	_ZSt22__uninitialized_copy_aIN9__gnu_cxx17__normal_iteratorIPK16STPvPBuddyDBInfoSt6vectorIS2_SaIS2_EEEEPS2_S2_ET0_T_SB_SA_RSaIT1_E	STPvPBuddyDBInfo* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<STPvPBuddyDBInfo const*, std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> > >, STPvPBuddyDBInfo*, STPvPBuddyDBInfo>(__gnu_cxx::__normal_iterator<STPvPBuddyDBInfo const*, std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> > >, __gnu_cxx::__normal_iterator<STPvPBuddyDBInfo const*, std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> > >, STPvPBuddyDBInfo*, std::allocator<STPvPBuddyDBInfo>&)	1	00000021	00000021	12	12	yes	1.0000
Community/src/BuddyManager.cpp.o	_ZSt3maxIjERKT_S2_S2_	unsigned int const& std::max<unsigned int>(unsigned int const&, unsigned int const&)	1	0000001b	0000001b	13	13	yes	1.0000
Community/src/BuddyManager.cpp.o	_ZSt3minIjERKT_S2_S2_	unsigned int const& std::min<unsigned int>(unsigned int const&, unsigned int const&)	1	0000001b	0000001b	13	13	yes	1.0000
Community/src/BuddyManager.cpp.o	_ZSt7find_ifIN9__gnu_cxx17__normal_iteratorIP16STPvPBuddyDBInfoSt6vectorIS2_SaIS2_EEEE10CFindBuddyET_S9_S9_T0_	__gnu_cxx::__normal_iterator<STPvPBuddyDBInfo*, std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> > > std::find_if<__gnu_cxx::__normal_iterator<STPvPBuddyDBInfo*, std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> > >, CFindBuddy>(__gnu_cxx::__normal_iterator<STPvPBuddyDBInfo*, std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> > >, __gnu_cxx::__normal_iterator<STPvPBuddyDBInfo*, std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> > >, CFindBuddy)	1	0000008f	0000008f	46	46	yes	1.0000
Community/src/BuddyManager.cpp.o	_ZSt8_DestroyIP16STPvPBuddyDBInfoEvT_S2_	void std::_Destroy<STPvPBuddyDBInfo*>(STPvPBuddyDBInfo*, STPvPBuddyDBInfo*)	1	0000001a	0000001a	10	10	yes	1.0000
Community/src/BuddyManager.cpp.o	_ZnwjPv	operator new(unsigned int, void*)	1	00000008	00000008	5	5	yes	1.0000
Community/src/CPacketParser.cpp.o	_ZN13CPacketParserC1Ev	CPacketParser::CPacketParser()	1	00000005	00000005	4	4	yes	1.0000
Community/src/CPacketParser.cpp.o	_ZN13CPacketParserC2Ev	CPacketParser::CPacketParser()	1	00000005	00000005	0	0	no	0.0000
Community/src/CPacketParser.cpp.o	_ZN13CPacketParserD1Ev	CPacketParser::~CPacketParser()	1	00000005	00000005	4	4	yes	1.0000
Community/src/CPacketParser.cpp.o	_ZN13CPacketParserD2Ev	CPacketParser::~CPacketParser()	1	00000005	00000005	0	0	no	0.0000
Community/src/ConfigFileReader.cpp.o	_ZN17CConfigFileReader12CheckCommandEPc	CConfigFileReader::CheckCommand(char*)	1	000000b0	000000ae	56	55	no	0.9464
Community/src/ConfigFileReader.cpp.o	_ZN17CConfigFileReader14ReadConfigFileEPKc	CConfigFileReader::ReadConfigFile(char const*)	1	000000b7	000000ac	49	52	no	0.8077
Community/src/ConfigFileReader.cpp.o	_ZN17CConfigFileReader4TrimEPc	CConfigFileReader::Trim(char*)	1	00000114	00000105	88	88	no	0.8977
Community/src/ConfigFileReader.cpp.o	_ZN17CConfigFileReader5ParseEPc	CConfigFileReader::Parse(char*)	1	000001de	000001dd	140	141	no	0.9574
Community/src/ConfigFileReader.cpp.o	_ZN17CConfigFileReader7GetLineEP8_IO_FILEPc	CConfigFileReader::GetLine(_IO_FILE*, char*)	1	000000c8	000000cd	60	62	no	0.9032
Community/src/ConfigFileReader.cpp.o	_ZN17CConfigFileReader7add_tagEPKc	CConfigFileReader::add_tag(char const*)	1	00000092	00000092	51	51	yes	1.0000
Community/src/ConfigFileReader.cpp.o	_ZN17CConfigFileReader9get_valueEPKc	CConfigFileReader::get_value(char const*)	1	00000112	0000010c	88	86	no	0.9773
