symbol,demangled,category,reason,diff_excerpt,date
_Z26CheckDailyScheduleTimeOveril,"CheckDailyScheduleTimeOver(int, long)",codegen_diff,C语义一致（源码与Ghidra反编译逐句对应），编译器输出不同：栈帧 0x78 vs 0x88；ORIG 先把 localtime 结果读到 -0x3c..-0x14 再拷到 tm 结构，OURS 边读边拷到 -0x6c..-0x44，局部变量槽位布局整体不同；尾部 cmp 用的槽位相应不同,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,70 +1,75 @@
 push   %ebp
 mov    %esp,%ebp
-sub    $0x78,%esp
-lea    -0x10(%ebp),%eax
+sub    $0x88,%esp
+lea    -0x40(%ebp),%eax
 mov    %eax,(%esp)
 call   <T> <time>",2026-08-11
_Z28CheckDayHourScheduleTimeOveriil,"CheckDayHourScheduleTimeOver(int, int, long)",codegen_diff,"汇编两侧语义相同（都计算 target+(1-day)*86400 并返回 t<result），仅代码生成不同：栈帧 0x78 vs 0x88、局部槽位布局不同、尾部比较 ORIG 用 cmp t,result+setg、OURS 用先累加再 cmp+setl。注意md第3节提取到的是 Guild/Scheduler.cpp 的撞名函数，不可信，以汇编为准","```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,73 +1,79 @@
 push   %ebp
 mov    %esp,%ebp
-sub    $0x78,%esp
-lea    -0x10(%ebp),%eax
+sub    $0x88,%esp
+lea    -0x40(%ebp),%eax
 mov    %eax,(%esp)
 call   <T> <time>",2026-08-11
_ZN10CAppConfig11Parse_TableEPci,"CAppConfig::Parse_Table(char*, int)",caliber_issue,switch跳转表未按函数内偏移归一化：ORIG &data#1492d7d7(.rodata)(%eax) vs OURS &data#d86e476d(.rodata)(%eax) hash不同（表项指向各自函数内不同布局的case地址）；其余差异只是栈帧 0x60 vs 0x50 导致全部局部槽偏移 0x10 以及尾部 sub /usr/bin/zshx4 对齐。注：md第3节提取到 COServer 撞名文件，不可信，以汇编为准,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,227 +1,227 @@
 push   %ebp
 mov    %esp,%ebp
 push   %esi
 push   %ebx
-sub    $0x60,%esp
+sub    $0x50,%esp
 mov    0xc(%ebp),%eax
 movzbl (%eax),%eax",2026-08-11
_ZN10CAppConfigC1Ev,CAppConfig::CAppConfig(),caliber_issue,唯一差异：std::string 构造实参空字符串字面量地址未解析——ORIG &data#d3a43ecc(.rodata) vs OURS &data#3500214d(.rodata)，内容均为空串（字符串解析器忽略零长度字符串）；两侧其余指令逐条相同。注：md第3节源码提取错误（COServer撞名），实际Monitor构造即两个空字符串成员,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,93 +1,93 @@
 push   %ebp
 mov    %esp,%ebp
 push   %esi
 push   %ebx
 sub    $0x20,%esp
 mov    0x8(%ebp),%eax
 mov    %eax,(%esp)
 call   <T> <_ZN10CTableBaseC1Ev>",2026-08-11
_ZN10CAppConfigC2Ev,CAppConfig::CAppConfig(),caliber_issue,同 C1：唯一差异为空字符串字面量地址未解析（ORIG &data#d3a43ecc vs OURS &data#3500214d），两侧其余指令逐条相同,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,93 +1,93 @@
 push   %ebp
 mov    %esp,%ebp
 push   %esi
 push   %ebx
 sub    $0x20,%esp
 mov    0x8(%ebp),%eax
 mov    %eax,(%esp)
 call   <T> <_ZN10CTableBaseC1Ev>",2026-08-11
_ZN10CBlackUser12SetBlackUserEPcj,"CBlackUser::SetBlackUser(char*, unsigned int)",codegen_diff,"C语义一致（memcpy(this,param_1,0x1d) + *(uint*)(this+0x20)=param_2），仅参数装载顺序与寄存器选择不同（ORIG 先 eax 再 edx，OURS 先 movl 常量再 eax；ORIG 用 edx 传参，OURS 用 eax）","```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,14 +1,14 @@
 push   %ebp
 mov    %esp,%ebp
 sub    $0x18,%esp
+movl   $0x1d,0x8(%esp)
+mov    0xc(%ebp),%eax
+mov    %eax,0x4(%esp)
 mov    0x8(%ebp),%eax
-movl   $0x1d,0x8(%esp)",2026-08-11
_ZN10CBlackUser14ChangeCharNameEPc,CBlackUser::ChangeCharName(char*),codegen_diff,C语义一致（memset 0x1e + memcpy 0x1d），仅参数装载顺序与寄存器选择不同（memset 的 this 装载 ORIG 在开头 OURS 在最后，memcpy 参数顺序装载不同）,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,16 +1,16 @@
 push   %ebp
 mov    %esp,%ebp
 sub    $0x18,%esp
-mov    0x8(%ebp),%eax
 movl   $0x1e,0x8(%esp)
 movl   $0x0,0x4(%esp)
+mov    0x8(%ebp),%eax
 mov    %eax,(%esp)",2026-08-11
_ZN10CIPCounter11setLoadTermEh,CIPCounter::setLoadTerm(unsigned char),codegen_diff,C语义一致（term*60 上限 0x2a30 下限 0x708），代码生成不同：ORIG 全程寄存器（jle/jae 有符号比较），OURS 用 -0x4 栈槽暂存并改用无符号 jbe/ja（值恒非负故等价）；栈帧 4 vs 0x14,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,27 +1,33 @@
 push   %ebp
 mov    %esp,%ebp
-sub    $0x4,%esp
+sub    $0x14,%esp
 mov    0xc(%ebp),%eax
-mov    %al,-0x4(%ebp)
-movzbl -0x4(%ebp),%eax
+mov    %al,-0x14(%ebp)",2026-08-11
_ZN10CIPCounter13setMinIPCountEh,CIPCounter::setMinIPCount(unsigned char),codegen_diff,"C语义一致（min(count,200) 写入 this[0]），代码生成不同：ORIG movzbl+cmp /usr/bin/zshxc8,%al+jbe+mov /usr/bin/zshxffffffc8,%eax，OURS cmpb -0x4 栈槽+jbe+movb /usr/bin/zshxc8；栈帧相同 4 字节","```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,13 +1,13 @@
 push   %ebp
 mov    %esp,%ebp
 sub    $0x4,%esp
 mov    0xc(%ebp),%eax
 mov    %al,-0x4(%ebp)
-movzbl -0x4(%ebp),%eax
-cmp    $0xc8,%al
-jbe    <T> <_ZN10CIPCounter13setMinIPCountEh+0x19>",2026-08-11
_ZN10CIPCounter4ProcEj,CIPCounter::Proc(unsigned int),codegen_diff,C语义一致（三个提前返回条件 + 发送 + 日志 + m_min=tick+0x3c），差异：SendDBMWRequestIPCounter 两参数装载顺序不同（ORIG 先 0x11 再 0x0，OURS 先 0x0 再 0x11），尾部 nop 填充数量不同,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,53 +1,55 @@
 push   %ebp
 mov    %esp,%ebp
 sub    $0x28,%esp
 mov    0x8(%ebp),%eax
 mov    0x8(%eax),%eax
 cmp    0xc(%ebp),%eax
 jae    <T> <_ZN10CIPCounter4ProcEj+0xae>
 mov    0x8(%ebp),%eax",2026-08-11
_ZN10CIPCounter9setOptionEhh,"CIPCounter::setOption(unsigned char, unsigned char)",codegen_diff,C语义一致（switch 0..4 各分支相同），差异：栈槽 -0xc/-0x10 vs -0x4/-0x8、成员写入 ORIG 直接 movb 0x10(%eax) vs OURS add+movb 间接寻址、跳转偏移布局不同,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,43 +1,48 @@
 push   %ebp
 mov    %esp,%ebp
-sub    $0x28,%esp
+sub    $0x10,%esp
 mov    0xc(%ebp),%edx
 mov    0x10(%ebp),%eax
-mov    %dl,-0xc(%ebp)
-mov    %al,-0x10(%ebp)",2026-08-11
_ZN10CMyFileLogclEPKcS1_z,"CMyFileLog::operator()(char const*, char const*, ...)",codegen_diff,"C语义一致且源码已带注释说明（register size_t 落 ebx 的寄存器分配伪影），剩余差异仅为 memset 参数装载顺序：ORIG 先 lea 后 mov /usr/bin/zshx7000,%edx，OURS 先 mov /usr/bin/zshx7000,%ebx 后 lea","```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,45 +1,45 @@
 push   %ebp
 mov    %esp,%ebp
 push   %ebx
 sub    $0x7024,%esp
+mov    $0x7000,%ebx
+mov    %ebx,0x8(%esp)
+movl   $0x0,0x4(%esp)
 lea    -0x700c(%ebp),%eax",2026-08-11
_ZN10CTableBase19Load_Txt_Table_DataEPKci,"CTableBase::Load_Txt_Table_Data(char const*, int)",codegen_diff,C语义一致（feof/fgets 循环 + '#'跳过 + maxCount 检查 + 虚调用 Parse_Table），差异：分支布局/比较表述不同（ORIG sete+test+je 三段 vs OURS cmpl+jne）、计数与文件句柄槽位互换、尾部 nop。注：md第3节是 COServer 撞名文件，实际 monitor 源码 fopen 模式为 rb,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,63 +1,69 @@
 push   %ebp
 mov    %esp,%ebp
 sub    $0x428,%esp
-movl   $0x0,-0x10(%ebp)
 movl   $""rb"",0x4(%esp)
 mov    0xc(%ebp),%eax
 mov    %eax,(%esp)
 call   <T> <fopen>",2026-08-11
_ZN10CTowerRank10registRankEjjjPK30stDeathTowerRecordMemberInfo_t,"CTowerRank::registRank(unsigned int, unsigned int, unsigned int, stDeathTowerRecordMemberInfo_t const*)",codegen_diff,C语义一致（for 循环调 registCharacRank），仅循环比较表述不同：ORIG cmp 上限+setg vs OURS cmp 计数+setb（等价）。源码存在于 DNFTowerRank.cpp:112（extractor 因 typedef 参数未定位）,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,26 +1,26 @@
 push   %ebp
 mov    %esp,%ebp
 sub    $0x38,%esp
 movl   $0x0,-0xc(%ebp)
 jmp    <T> <_ZN10CTowerRank10registRankEjjjPK30stDeathTowerRecordMemberInfo_t+0x40>
 mov    -0xc(%ebp),%eax
 imul   $0x17,%eax,%eax
 add    0x18(%ebp),%eax",2026-08-11
_ZN10CTowerRank11getRankDataEjPKcjP20stTowerRankElement_t,"CTowerRank::getRankData(unsigned int, char const*, unsigned int, stTowerRankElement_t*)",codegen_diff,C语义一致（lower_bound/upper_bound 区间遍历拷贝），差异：栈槽 -0xc vs -0x10、string 构造与 allocator 初始化位置不同、指令装载顺序不同、尾部分支布局。源码存在于 DNFTowerRank.cpp:84,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,147 +1,141 @@
 push   %ebp
 mov    %esp,%ebp
 push   %esi
 push   %ebx
 sub    $0x40,%esp
-movl   $0x0,-0xc(%ebp)
-lea    -0x19(%ebp),%eax
-mov    %eax,(%esp)",2026-08-11
_ZN10CTowerRank16registCharacRankEjPKcjj,"CTowerRank::registCharacRank(unsigned int, char const*, unsigned int, unsigned int)",codegen_diff,"C语义一致（区间扫描：byte==job 时 rank>=score 则返回否则 erase，最后 insert 新元素），差异：局部槽位/指令顺序不同，job 比较 ORIG sete+je vs OURS cmp %al,%dl+sete，rank 比较 ORIG setb+je(返回) vs OURS setae+jne(返回) 等价表述，make_pair/insert 构造顺序不同。源码存在于 DNFTowerRank.cpp:56","```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,201 +1,177 @@
 push   %ebp
 mov    %esp,%ebp
 push   %esi
 push   %ebx
 sub    $0x40,%esp
-lea    -0x29(%ebp),%eax
-mov    %eax,(%esp)
-call   <T> <_ZNSaIcEC1Ev>",2026-08-11
_ZN10CTowerRank5resetEv,CTowerRank::reset(),codegen_diff,C语义一致（4 次 clear），仅循环比较表述不同：ORIG cmp /usr/bin/zshx3+setbe vs OURS cmpl /usr/bin/zshx3+setle（循环变量非负等价）,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,21 +1,20 @@
 push   %ebp
 mov    %esp,%ebp
 sub    $0x28,%esp
 movl   $0x0,-0xc(%ebp)
 jmp    <T> <_ZN10CTowerRank5resetEv+0x2a>
 mov    -0xc(%ebp),%edx
 mov    %edx,%eax
 add    %eax,%eax",2026-08-11
_ZN10CommonTime10SetCurTimeEv,CommonTime::SetCurTime(),codegen_diff,C语义一致，仅 LEA 优化差异：ORIG sub /usr/bin/zshx64+mov / add /usr/bin/zshx1+mov，OURS lea -0x64(%eax) / lea 0x1(%eax)，指令等价,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,44 +1,42 @@
 push   %ebp
 mov    %esp,%ebp
 sub    $0x28,%esp
 lea    -0x10(%ebp),%eax
 mov    %eax,(%esp)
 call   <T> <time>
 lea    -0x10(%ebp),%eax
 mov    %eax,(%esp)",2026-08-11
_ZN11CCashObject11SetLifeTimeEj,CCashObject::SetLifeTime(unsigned int),codegen_diff,C语义一致（this[0]=param），仅参数装载顺序不同：ORIG 先 this 再 param，OURS 先 param 再 this,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,7 +1,7 @@
 push   %ebp
 mov    %esp,%ebp
+mov    0xc(%ebp),%edx
 mov    0x8(%ebp),%eax
-mov    0xc(%ebp),%edx
 mov    %edx,(%eax)
 pop    %ebp
 ret",2026-08-11
_ZN11CCashObject15GetBuddysObjectEPP6CBuddy,CCashObject::GetBuddysObject(CBuddy**),codegen_diff,C语义一致（do-while 拷贝+判空+越界置 0x20 后 ClearBuddys），差异：栈槽 -0x4 vs -0xc、分支布局不同（ORIG 先拷贝后检查放循环头，OURS 尾检查）、nop 填充,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,38 +1,31 @@
 push   %ebp
 mov    %esp,%ebp
-sub    $0x14,%esp
-movl   $0x0,-0x4(%ebp)
-mov    -0x4(%ebp),%eax
+sub    $0x28,%esp
+movl   $0x0,-0xc(%ebp)
+jmp    <T> <_ZN11CCashObject15GetBuddysObjectEPP6CBuddy+0x10>",2026-08-11
_ZN11CCashObject16DeleteBlackUsersEv,CCashObject::DeleteBlackUsers(),codegen_diff,C语义一致（empty 保护 + 遍历 delete + clear），差异：empty 结果取反方式 ORIG test+sete+test+je vs OURS xor /usr/bin/zshx1+je、分支布局与尾部 nop 不同,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,56 +1,55 @@
 push   %ebp
 mov    %esp,%ebp
 sub    $0x28,%esp
 mov    0x8(%ebp),%eax
 add    $0x8c,%eax
 mov    %eax,(%esp)
 call   <T> <_ZNKSt3mapIjP10CBlackUserSt4lessIjESaISt4pairIKjS1_EEE5emptyEv>
+xor    $0x1,%eax",2026-08-11
_ZN11CCashObject13IsLifeTimeOutEv,CCashObject::IsLifeTimeOut(),codegen_diff,C语义一致（-1 保护+递减+返回 m_lifeTime==0），仅布尔生成方式不同：ORIG sete 后再 test+je+mov +mov /usr/bin/zsh 分支生成返回值，OURS 直接 sete %al 返回；函数 0x3d vs 0x2d,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,24 +1,19 @@
 push   %ebp
 mov    %esp,%ebp
 mov    0x8(%ebp),%eax
 mov    (%eax),%eax
 cmp    $0xffffffff,%eax
 jne    <T> <_ZN11CCashObject13IsLifeTimeOutEv+0x14>
 mov    $0x0,%eax
-jmp    <T> <_ZN11CCashObject13IsLifeTimeOutEv+0x3b>",2026-08-11
_ZN11CSystemTimeC1Ev,CSystemTime::CSystemTime(),codegen_diff,"C语义一致（gettimeofday + m_sec=tv_sec + m_msec=tv_usec/1000），差异：ORIG 直接 mov 0x8(%eax),%edx 写 0x10，OURS lea 0x10+重新装载；m_msec ORIG 经 edx 存，OURS 经 ebx；帧构造 sub 0x18 vs push ebx+sub 0x14","```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,28 +1,34 @@
 push   %ebp
 mov    %esp,%ebp
-sub    $0x18,%esp
+push   %ebx
+sub    $0x14,%esp
 mov    0x8(%ebp),%eax
 add    $0x8,%eax
 movl   $0x0,0x4(%esp)",2026-08-11
_ZN11CSystemTimeC2Ev,CSystemTime::CSystemTime(),codegen_diff,同 C1（完全相同的两个构造符号），仅寄存器分配与帧构造差异,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,28 +1,34 @@
 push   %ebp
 mov    %esp,%ebp
-sub    $0x18,%esp
+push   %ebx
+sub    $0x14,%esp
 mov    0x8(%ebp),%eax
 add    $0x8,%eax
 movl   $0x0,0x4(%esp)",2026-08-11
_ZN11CTcpHandler10ResetEpollEi,CTcpHandler::ResetEpoll(int),codegen_diff,C语义一致（m_epoll?->ResetEpoll(flag):-1 虚调用），差异：ORIG 先取 fn 到 ecx 再重取 this，OURS 保持 fn 在 eax；栈帧 0x28 vs 0x18；ORIG 结果暂存 -0xc,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,24 +1,22 @@
 push   %ebp
 mov    %esp,%ebp
-sub    $0x28,%esp
+sub    $0x18,%esp
 mov    0x8(%ebp),%eax
 mov    (%eax),%eax
 test   %eax,%eax
 jne    <T> <_ZN11CTcpHandler10ResetEpollEi+0x16>",2026-08-11
_ZN11CTcpHandler11GetEventPtrEi,CTcpHandler::GetEventPtr(int),codegen_diff,C语义一致（虚调用 GetEventPtr），仅虚函数表取指/传参的寄存器与装载顺序不同（ORIG fn 进 ecx，OURS 留在 eax）,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,22 +1,22 @@
 push   %ebp
 mov    %esp,%ebp
 sub    $0x18,%esp
 mov    0x8(%ebp),%eax
 mov    (%eax),%eax
 test   %eax,%eax
 jne    <T> <_ZN11CTcpHandler11GetEventPtrEi+0x16>
 mov    $0x0,%eax",2026-08-11
_ZN11CTcpHandler12IsSetInEventEi,CTcpHandler::IsSetInEvent(int),codegen_diff,C语义一致（虚调用 IsSetInEvent），仅虚函数表取指/传参的寄存器与装载顺序不同,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,22 +1,22 @@
 push   %ebp
 mov    %esp,%ebp
 sub    $0x18,%esp
 mov    0x8(%ebp),%eax
 mov    (%eax),%eax
 test   %eax,%eax
 jne    <T> <_ZN11CTcpHandler12IsSetInEventEi+0x16>
 mov    $0x0,%eax",2026-08-11
_ZN11CTcpHandler12WaitForEventEv,CTcpHandler::WaitForEvent(),codegen_diff,C语义一致（虚调用 WaitForEvent），仅虚函数表取指/传参的寄存器与装载顺序不同（ORIG fn 进 edx，OURS 留在 eax）,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,20 +1,20 @@
 push   %ebp
 mov    %esp,%ebp
 sub    $0x18,%esp
 mov    0x8(%ebp),%eax
 mov    (%eax),%eax
 test   %eax,%eax
 jne    <T> <_ZN11CTcpHandler12WaitForEventEv+0x16>
 mov    $0xffffffff,%eax",2026-08-11
_ZN11CTcpHandler13IsSetErrEventEi,CTcpHandler::IsSetErrEvent(int),codegen_diff,C语义一致（虚调用 IsSetErrEvent），仅虚函数表取指/传参的寄存器与装载顺序不同,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,22 +1,22 @@
 push   %ebp
 mov    %esp,%ebp
 sub    $0x18,%esp
 mov    0x8(%ebp),%eax
 mov    (%eax),%eax
 test   %eax,%eax
 jne    <T> <_ZN11CTcpHandler13IsSetErrEventEi+0x16>
 mov    $0x0,%eax",2026-08-11
_ZN11CTcpHandler13IsSetOutEventEi,CTcpHandler::IsSetOutEvent(int),codegen_diff,C语义一致（虚调用 IsSetOutEvent），仅虚函数表取指/传参的寄存器与装载顺序不同,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,22 +1,22 @@
 push   %ebp
 mov    %esp,%ebp
 sub    $0x18,%esp
 mov    0x8(%ebp),%eax
 mov    (%eax),%eax
 test   %eax,%eax
 jne    <T> <_ZN11CTcpHandler13IsSetOutEventEi+0x16>
 mov    $0x0,%eax",2026-08-11
_ZN11CTcpHandler7SetPeerEPvib,"CTcpHandler::SetPeer(void*, int, bool)",codegen_diff,"C语义一致（m_epoll?->SetEpoll(peer,fd,flag):-1 虚调用），仅虚表取指/参数装载顺序与寄存器不同","```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,28 +1,28 @@
 push   %ebp
 mov    %esp,%ebp
 sub    $0x28,%esp
 mov    0x14(%ebp),%eax
 mov    %al,-0xc(%ebp)
 mov    0x8(%ebp),%eax
 mov    (%eax),%eax
 test   %eax,%eax",2026-08-11
_ZN11CTcpHandlerD1Ev,CTcpHandler::~CTcpHandler(),codegen_diff,C语义一致（判空 delete m_epoll 并置 0），仅虚调用取指/装载顺序与寄存器不同,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,24 +1,24 @@
 push   %ebp
 mov    %esp,%ebp
 sub    $0x18,%esp
 mov    0x8(%ebp),%eax
 mov    (%eax),%eax
 test   %eax,%eax
 je     <T> <_ZN11CTcpHandlerD1Ev+0x37>
 mov    0x8(%ebp),%eax",2026-08-11
