node	downstream_nodes	direct_deps	depending_tus
DNFServer/GameServer/ServerLab/ServerLib/basic_source/SocketSystem.h	0	0	1
DNFServer/GameServer/ServerLab/ServerLib/basic_source/LinuxService.h	0	2	3
shared/common/include/InternalMsg.h	0	2	7
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/auction/dictionary/Search.h	0	1	9
DNFServer/GameServer/ServerLab/ServerLib/common_source/DBDispatcher.h	0	0	3
DNFServer/GameServer/ServerLab/ServerLib/common_source/ServiceFactory.h	0	9	26
DNFServer/GameServer/ServerLab/ServerLib/common_source/TCPSendThread.h	0	1	9
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/Character.h	0	2	5
DNFServer/GameServer/ServerLab/ServerLib/basic_source/TEA.h	0	1	3
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/auction/dictionary/ExpireTimeDictionary.h	0	1	10
DNFServer/GameServer/ServerLab/ServerLib/common_source/TCPSendThread.cpp	34	10	0
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/auction/Auction.cpp	42	13	0
DNFServer/GameServer/ServerLab/ServerLib/common_source/IHandlers.h	0	1	26
DNFServer/GameServer/ServerLab/ServerLib/common_source/TimerThread.h	0	3	10
DNFServer/GameServer/ServerLab/ServerLib/common_source/LogSendThread.h	0	1	2
DNFServer/GameServer/ServerLab/ServerLib/common_source/DBConnection.cpp	6	3	0
DNFServer/GameServer/ServerLab/ServerLib/basic_source/Thread.h	0	2	35
DNFServer/GameServer/ServerLab/ServerLib/basic_source/Exception.h	0	0	27
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/auction/dictionary/ExpireTimeDictionary.cpp	3	1	0
shared/common/include/MsgCell.h	0	3	30
DNFServer/GameServer/ServerLab/Auction/AuctionServer/auction_source/TeaInitialize.h	0	0	3
DNFServer/ServerCommon/tinyxml.h	0	0	2
DNFServer/GameServer/ServerLab/ServerLib/basic_source/TCPUser.cpp	33	10	0
DNFServer/GameServer/ServerLab/ServerLib/common_source/IHandler.h	0	0	28
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/StatisticsCollector.cpp	35	8	0
DNFServer/GameServer/ServerLab/ServerLib/basic_source/Token.cpp	1	1	0
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/Character.cpp	41	12	0
DNFServer/GameServer/ServerLab/ServerLib/common_source/ServiceFactory.cpp	44	19	0
DNFServer/GameServer/ServerLab/ServerLib/basic_source/TraceLog.cpp	8	3	0
DNFServer/GameServer/ServerLab/ServerLib/common_source/TActiveConnect.cpp	32	8	0
DNFServer/GameServer/ServerLab/Auction/AuctionServer/auction_source/HandlerFor_GP_JPN.h	0	3	2
DNFServer/GameServer/ServerLab/ServerLib/common_source/Threads.h	0	0	26
DNFServer/GameServer/ServerLab/ServerLib/common_source/TCPThread.h	0	1	2
DNFServer/GameServer/ServerLab/Auction/AuctionServer/auction_source/InterHandler.h	0	1	3
DNFServer/ServerCommon/Thread.h	0	0	3
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/Zone.cpp	4	2	0
DNFServer/GameServer/ServerLab/Auction/AuctionServer/auction_source/HandlerFor_TE_.cpp	55	19	0
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/version.h	0	0	1
DNFServer/GameServer/ServerLab/Auction/AuctionServer/auction_source/InterHandler.cpp	56	22	0
DNFServer/GameServer/ServerLab/ServerLib/common_source/IHandler.cpp	32	4	0
DNFServer/GameServer/ServerLab/Auction/AuctionServer/auction_source/HandlerFor_TE_.h	0	2	4
shared/common/include/InternalMsgDesign.h	0	1	30
Library3rd/MySQL/include/errmsg.h	0	0	1
DNFServer/GameServer/ServerLab/ServerLib/common_source/DBConnections.h	0	0	27
DNFServer/GameServer/ServerLab/ServerLib/basic_source/Socket.cpp	6	3	0
DNFServer/GameServer/ServerLab/ServerLib/common_source/IArea.cpp	5	3	0
DNFServer/GameServer/ServerLab/ServerLib/basic_source/RecvBuffer.h	0	1	28
DNFServer/GameServer/ServerLab/ServerLib/common_source/ServiceError.h	0	0	1
shared/common/include/RBTree.h	0	1	10
DNFServer/GameServer/ServerLab/ServerLib/common_source/TimeManager.h	0	1	10
shared/common/include/TMsgCell.h	0	1	2
DNFServer/GameServer/ServerLab/ServerLib/common_source/TCPDispatcher.h	0	0	4
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/auction/dictionary/CharacterDictionary.cpp	1	1	0
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/ServerLibrary2.0.cpp	65	21	0
DNFServer/GameServer/ServerLab/ServerLib/basic_source/DataPool.cpp	33	10	0
DNFServer/GameServer/ServerLab/ServerLib/common_source/TCPThread.cpp	36	15	0
DNFServer/GameServer/ServerLab/ServerLib/basic_source/Token.h	0	0	31
DNFServer/GameServer/ServerLab/ServerLib/basic_source/TCPUser.h	0	3	28
shared/common/include/ObjectPoolByBoostPool.h	0	1	30
DNFServer/GameServer/ServerLab/ServerLib/common_source/mysql.h	0	0	5
DNFServer/GameServer/ServerLab/ServerLib/common_source/PortInfo.h	0	0	26
DNFServer/GameServer/ServerLab/ServerLib/common_source/EncyptTools.h	0	0	26
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/GameDataPool.cpp	28	5	0
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/DNFFunctionLibWrapper.cpp	1	1	0
DNFServer/ServerCommon/DNFFunctionLib.h	0	0	6
DNFServer/GameServer/ServerLab/Auction/AuctionServer/auction_source/HandlerFor_DB_.h	0	7	3
DNFServer/GameServer/ServerLab/ServerLib/basic_source/System.cpp	1	1	0
DNFServer/GameServer/ServerLab/ServerLib/common_source/TActiveConnect.h	0	3	6
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/StatisticsCollector.h	0	1	5
DNFServer/GameServer/ServerLab/ServerLib/common_source/ActiveNetClose.h	0	1	4
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/auction/dictionary/CharacterDictionary.h	0	0	10
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/auction/dictionary/AuctionDictionary.h	0	5	9
DNFServer/ServerCommon/DNFFileLog.h	0	1	3
DNFServer/GameServer/ServerLab/ServerLib/common_source/DataPools.h	0	0	26
DNFServer/GameServer/ServerLab/ServerLib/common_source/NSLDBThread.cpp	34	10	0
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/DNFFunctionLibWrapper.h	0	0	2
DNFServer/GameServer/ServerLab/Auction/AuctionServer/auction_source/TeaInitialize.cpp	16	3	0
DNFServer/GameServer/ServerLab/ServerLib/basic_source/LinuxService.cpp	9	3	0
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/AuctionString.cpp	3	2	0
DNFServer/GameServer/ServerLab/ServerLib/common_source/LogSendThread.cpp	34	9	0
DNFServer/GameServer/ServerLab/ServerLib/common_source/CommonDataPool.h	0	2	16
DNFServer/GameServer/ServerLab/ServerLib/common_source/NSLDBThread.h	0	1	9
DNFServer/GameServer/ServerLab/ServerLib/basic_source/Thread.cpp	4	2	0
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/version.cpp	1	1	0
DNFServer/GameServer/ServerLab/ServerLib/common_source/DBDispatcher.cpp	34	11	0
DNFServer/ServerCommon/DNFFunctionLib.cpp	3	2	0
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/ServerLibrary2.0.h	0	1	1
DNFServer/GameServer/ServerLab/ServerLib/common_source/IActiveConManager.h	0	0	26
shared/common/include/TE_Entity.h	0	2	6
DNFServer/ServerCommon/ServerXml.cpp	4	3	0
DNFServer/GameServer/ServerLab/ServerLib/common_source/TimerThread.cpp	15	3	0
DNFServer/GameServer/ServerLab/ServerLib/basic_source/TraceLog.h	0	2	36
DNFServer/ServerCommon/ServerXml.h	0	1	2
DNFServer/GameServer/ServerLab/ServerLib/common_source/ISession.h	0	0	10
shared/common/include/Message.h	0	2	29
